tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
1058,Energy Efficient Indexing on Air,"S. Viswanathan, B. R. Badrinath, Tomasz Imielinski",SIGMOD Conference,1994,16365,Transmission of radiometer data from the Synchronous Meteorological Satellite,RS DAVIES,"&hellip;  Telemetering Conference, Washington, D. C, Proceedings,",1973.0,0
525,The PointCast Network,"Vibha Dayal, Satish Ramakrishnan",SIGMOD Conference,1998,46945,Motivating analysts and programmers,JD Couger,"Computerworld,",nan,0
1557,The IDEA Web Lab,"Piero Fraternali, Stefano Paraboschi, Stefano Ceri",SIGMOD Conference,1998,39873,The IDEA Web Lab,"S Ceri, P Fraternali, S Paraboschi",nan,nan,1
1203,Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,"Wenke Lee, Eleazar Eskin, Wei Fan, Salvatore J. Stolfo, Philip K. Chan",SIGMOD Record,2001,18146,Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,"SJ Stolfo, W Lee, PK Chan, W Fan, E Eskin","SIGMOD Record,",2001.0,1
1164,Issues in Network Management in the Next Millennium,"Michael L. Brodie, Surajit Chaudhuri",VLDB,1999,15893,Issues in Network Management in the Next Millennium,"ML Brodie, S Chaudhuri","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,1
2209,Query Previews for Networked Information Systems: A Case Study with NASA Environmental Data,"Khoa Doan, Catherine Plaisant, Ben Shneiderman, Tom Bruns",SIGMOD Record,1997,15338,Histological typing of tumours of the upper respiratory tract and ear,"K Shanmugaratnam, LH Sobin??¦",1996,nan,0
2188,MPEG-7 Standard for Multimedia Databases,John R. Smith,SIGMOD Conference,2001,59,White Christmas could become dream.,W Brandel,"COMPUTERWORLD.,",1989.0,0
342,DataBlitz: A High Performance Main-Memory Storage Manager,"P. P. S. Narayan, S. Joshi, M. Nemeth, Abraham Silberschatz, Henry F. Korth, A. Khivesera, Jerry Baulier, S. Sudarshan, Philip Bohannon, Peter McIlroy, J. Miller, S. Gogate, Rajeev Rastogi, C. Gupta",VLDB,1998,52914,Negotiating the Democratic Classroom,"SAJ Colin, TW Heaney","New Directions for Adult and Continuing Education,",2001.0,0
1310,Using Referential Integrity To Easily Define Consistent Subset Replicas,Brad Hammond,VLDB,1996,24853,"Latex allergy: Policy, procedure, and latex-safe box",L Warner,"JOURNAL OF EMERGENCY NURSING,",1997.0,0
553,Implementing the Spirit of SQL-99,Paul Brown,SIGMOD Conference,1999,11578,"Foundations of Differential Geometry (Interscience, New York)","S Kobayashi, K Nomizu","Vol I,",nan,0
1320,Extending Practical Pre-Aggregation in On-Line Analytical Processing,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",VLDB,1999,51658,Psychologie et Ergonomie Conitive du Raisonnement,JM Hoc,"Proceedings of: 4iem Universit?© d&#39;?©t?©&quot; M?©thodes et  &hellip;,",nan,0
1797,Databases and Visualization,Daniel A. Keim,SIGMOD Conference,1996,49780,The State vs. the Big Bad Wolf: A Study of the Justice System in the Elementary School.,J Norton,"Social Studies and the Young Learner,",1992.0,0
1994,Realm-Based Spatial Data Types: The ROSE Algebra,"Markus Schneider, Ralf Hartmut G?ting",VLDB J.,1995,18284,Graph Clustering 1: Cycles of Cliques,FJ Brandenburg,nan,nan,0
1147,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","Limsoon Wong, Rona Machlin, Leonid Libkin",SIGMOD Conference,1996,12591,ONTOUNOUA: A Mechanism to Support Portable Ontologies,TR Gruber,1992,nan,0
152,Temporal Database System Implementations,Michael H. B?hlen,SIGMOD Record,1995,53543,MOS models for geometric programming,"M Hershenson, S Boyd, TH Lee","Technical report, Stanford University, 1998. http://www-isl.",nan,0
573,"Fast, Randomized Join-Order Selection - Why Use Transformations?","Arjan Pellenkoft, C?sar A. Galindo-Legaria, Martin L. Kersten",VLDB,1994,24626,VIM Continuous Energy Monte Carlo Code,R Blomquist,Proc. Int.,nan,0
1155,On Schema Matching with Opaque Column Names and Data Values,"Jaewoo Kang, Jeffrey F. Naughton",SIGMOD Conference,2003,47683,Religious Freedom and Forced Transfusion of Jehovah's Witness Children,P Rosen,"JOURNAL OF EMERGENCY MEDICINE,",1996.0,0
1757,Implementing Abstract Objects with Inheritance in Datalogneg,Hasan M. Jamil,VLDB,1997,33515,Truncus Arteriosus Malformation: A Developmental Arrest at Carnegie Stage 14,"IT YU, M HUTCHINS",nan,nan,0
1450,Response to A Close Look at the IFO Data Model,"Serge Abiteboul, Richard Hull",SIGMOD Record,1995,26966,Exploring the Design Space for Notification Servers,"R Devina, D Alan",Proceedings of ACM,nan,0
2496,Hash Joins and Hash Teams in Microsoft SQL Server,"Shaun Cooper, Goetz Graefe, Ross Bunker",VLDB,1998,53522,Human factors and the design of user interface management systems: EASIE as a case study,A MacLean,"Information and Software Technology,",1987.0,0
1583,Biodiversity Informatics Infrastructure: An Information Commons for the Biodiversity Community,"Barbara T. Bauldock, Gladys A. Cotter",VLDB,2000,51578,The LRU-K Page Replacement Algorithm For Database Disk Buffering,G Weikum,nan,nan,0
497,Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Lud?scher",ACM Trans. Database Syst.,2002,14272,Spontaneous thyroiditis in the obese strain of chickens. I,"E Witebsky, JH Kite Jr, G Wick, RK Cole","Demonstration of circulating antibodies. J. lmmunol,",nan,0
843,Research and Products: Are They Relevant To Each Other? (Panel),Herb Edelstein,SIGMOD Conference,1995,38316,Reflective Transaction Service,"W Yu, R Karlsen",nan,nan,0
1816,"Title, Announcement",?,VLDB J.,1995,54566,"UML hits the streets As more IT shops implement UML and use cases, some developers find that the OMG",J Vaughan,"APPLICATION DEVELOPMENT TRENDS,",2001.0,0
1373,Composing XSL Transformations with XML Publishing Views,"Chengkai Li, P. P. S. Narayan, Henry F. Korth, Philip Bohannon",SIGMOD Conference,2003,32246,Double beta decay in the particle-number projected QRPA formalism(Abstract Only),J SUHONEN,"Oulu Univ, Proceedings of the 25 th Annual Conference of the &hellip;,",1991.0,0
1950,NetCube: A Scalable Tool for Fast Data Mining and Compression,"Dimitris Margaritis, Christos Faloutsos, Sebastian Thrun",VLDB,2001,40703,Cincinnati Metropatterns: A Regional Agenda for Community and Stability,"M Orfield, T Luce","Metropolitan Area Research Corporation,",nan,0
413,Efficient and Transparent Application Recovery in Client-Server Information Systems,"David B. Lomet, Gerhard Weikum",SIGMOD Conference,1998,44227,Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,"A Datta, K Ramamritham, H Thomas","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,0
717,LORE: A Lightweight Object REpository for Semistructured Data,"Janet L. Wiener, Jason McHugh, Serge Abiteboul, Qingshan Luo, Anand Rajaraman, Dallan Quass, Jeffrey D. Ullman, Roy Goldman, Hugo Rivero, Jennifer Widom, Svetlozar Nestorov, Kevin Haas",SIGMOD Conference,1996,53567,Porter's (1980) Generic Strategies as Determinants of Strategic Group Membership and Organizational,"GG Dess, PS Davis","The Academy of Management Journal,",1984.0,0
1904,Environment Information Systems - Guest Editor's Foreword,Oliver G?nther,SIGMOD Record,1997,6679,Terms of Usage Privacy Policy Code of Ethics Contact Us,J Blakeley,"ACM SIGMOD Record,",2001.0,0
990,Collaborative Analytical Processing - Dream or Reality? (Panel abstract),"Goetz Graefe, William O'Connell, Andrew Witkowski",VLDB,2001,52972,Initial layer theory and model equations of Volterra type,AM Bijura,nan,nan,0
2105,Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,"Sin Yeung Lee, Tok Wang Ling",VLDB,1996,43953,Automated Statistics Collection in DB2 UDB,"A Aboulnaga, P Haas, M Kandil, S Lightstone, G","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004.0,0
1262,Describing Semistructured Data,Luca Cardelli,SIGMOD Record,2001,1561,A 28 GHz gyrotron with a permanent magnet system for industry applications,"H Asano, K Kikunaga, K Hemmi, F Sato, T Tsukamoto","Proc. 21st Int. Conf. on Infrared and Millimeter Waves,  &hellip;,",nan,0
1435,"Lessons from Wall Street: Case Studies in Configuration, Tuning, and Distribution (Tutorial)",Dennis Shasha,SIGMOD Conference,1997,18012,"Lessons from Wall Street: case studies in configuration, tuning, and distribution",D Shasha,"Proceedings of the 1997 ACM SIGMOD international conference  &hellip;,",1997.0,1
788,An Effective Hash Based Algorithm for Mining Association Rules,"Ming-Syan Chen, Philip S. Yu, Jong Soo Park",SIGMOD Conference,1995,18395,An Effective Algorithm for Mining of Association Rules,JS Park??¦,"Proceedings of ACM SIGMOD Conference on Management of data,  &hellip;,",nan,1
43,Fact: A Learning Based Web Query Processing System,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",SIGMOD Conference,2000,35569,The Lancros algorithm for the symmetric Ax= XBx problem,"GH Golub, R Underwood, JH Wilkinson","Technical Report STAN-CS-72-270, Stanford University Department",nan,0
272,Enhancing Database Correctness: a Statistical Approach,"Wen-Chi Hou, Zhongyang Zhang",SIGMOD Conference,1995,41246,"Heimito von Doderer, an Introduction",I Ivask,"Wisconsin Studies in Contemporary Literature,",1967.0,0
2448,Modelling temporal thematic map contents,"Elaheh Pourabbas, Alberto d'Onofrio",SIGMOD Record,2003,55321,FREEDOM AND SOLIDARITY PARTY AND ITS POLITICS: AN ATTEMPT TO REDEFINE THE TURKISH LEFT,O EVC?°MEN,2004,nan,0
1661,Reducing Multidatabase Query Response Time by Tree Balancing,"Weimin Du, Ming-Chien Shan, Umeshwar Dayal",SIGMOD Conference,1995,12228,Artificial intelligence and software engineering: A survey of possibilities.,D Partridge,"Information and Software Technology,",1988.0,0
1079,Index Nesting - An Efficient Approach to Indexing in Object-Oriented Databases,"Jiawei Han, Beng Chin Ooi, Hongjun Lu, Kian-Lee Tan",VLDB J.,1996,55244,Changes in symptoms after encephalo-duro-arterio-synangiosis (EDAS) in pediatric moyamoya disease,"Y Matsushima, T Yamaguchi, Y Takasato, S Tomida, T","No To Hattatsu,",1986.0,0
1026,Closing the key loophole in MLS databases,"Nenad Jukic, Svetlozar Nestorov, Susan V. Vrbsky",SIGMOD Record,2003,22197,On the autocorrelation structure of TCP traffic,"DR Figueiredo, B Liu, V Misra, D Towsley","Computer Networks,",2002.0,0
1146,Panel: Querying Networked Databases,"Divesh Srivastava, Nick Koudas",SIGMOD Conference,2003,11216,An algorithm for distributed mutual exclusion,P Chaudhuri,"Information and Software Technology,",1995.0,0
2397,A Pictorial Query Language for Querying Geographic Databases using Positional and OLAP Operators,"Elaheh Pourabbas, Maurizio Rafanelli",SIGMOD Record,2002,4082,Trajectography of several constant altitude balloons with a non-tracking radar- Methodology and,"R CORDESSES, J FOURNET-FAYARD, D RAMOND, B BENECH","Conference on Radar Meteorology, 22 nd, Zurich, Switzerland,",1984.0,0
769,Storage and Querying of E-Commerce Data,"Yirong Xu, Rakesh Agrawal, Amit Somani",VLDB,2001,6437,Energetic materials???insensitivity and environmental awareness,"AR Mitchell, RD Sanner","Proceedings of the 24th International Annual Conference on  &hellip;,",nan,0
142,Handling Very Large Databases with Informix Extended Parallel Server,Andreas Weininger,SIGMOD Conference,2000,14316,Cyclosporine Concentration Prediction using clustering and support vector regresion,"G Camps, E Soria, JJ P?©rez, F P?©rez, AR","Electronic Letters,",nan,0
385,Supporting Dynamic Displays Using Active Rules,"Oscar D?az, Arturo Jaime, Ghassan al-Qaimari, Norman W. Paton",SIGMOD Record,1994,11554,Supporting Dynamic Displays Using Active Rules,"A Jaime, NW Paton","SIGMOD Record,",1994.0,1
1447,The Dangers of Replication and a Solution,"Dennis Shasha, Jim Gray, Patrick E. O'Neil, Pat Helland",SIGMOD Conference,1996,40351,Conflict among personal strivings: Immediate and long-term implications for psychological and,"RA Emmons, LA King","Journal of Personality and Social Psychology,",1988.0,0
857,A Case-Based Approach to Information Integration,"Maurizio Panti, Alberto Giretti, Luca Spalazzi",VLDB,2000,48641,The Measurement of Power Spectra,"RB Blackman, JW Tukey","New York,",nan,0
1423,"DB2 Common Server: Technology, Progress, & Directions",Bruce G. Lindsay,VLDB,1995,7040,Optimistic Strategies for Large-Scale Dissemination of Multimedia Information,"R Yavatkar, L Manoj",nan,nan,0
722,Algebraic Change Propagation for Semijoin and Outerjoin Queries,"Timothy Griffin, Bharat Kumar",SIGMOD Record,1998,17716,Guest Editorial,S Chaudhuri,"Data Mining and Knowledge Discovery,",2000.0,0
2196,Staircase Join: Teach a Relational DBMS to Watch its (Axis) Steps,"Jens Teubner, Torsten Grust, Maurice van Keulen",VLDB,2003,55427,When are 2 web services compatible,"L Bordeaux, G Salaun, D Berardi, M Mecella",Proc. of,nan,0
1346,An Approach for Building Secure Database Federations,"Klaus R. Dittrich, Dirk Jonscher",VLDB,1994,34644,An approach for building secure database federations [A],"J Dirk, RD Klaus","Proc. Int&#39;l. Conf. On Very Large Data Bases [C]. San  &hellip;,",nan,1
2086,ALIAS: An Active Learning led Interactive Deduplication System,"Anuradha Bhamidipaty, Sunita Sarawagi, Chandra Mouli, Alok Kirpal",VLDB,2002,19520,Conferencing software: Let???s interface,J Salemi,"PC Magazine,",nan,0
148,The X-tree : An Index Structure for High-Dimensional Data,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",VLDB,1996,16136,The Franklin Pierce Plan,ST Dangelantonio,"NEW DIRECTIONS FOR HIGHER EDUCATION,",2004.0,0
1885,Clio: A Semi-Automatic Tool For Schema Mapping,"Laura M. Haas, Ren?e J. Miller, Mauricio A. Hern?ndez",SIGMOD Conference,2001,24993,Microtheme strategies for developing cognitive skills,"JC Bean, D Drenk, FD Lee","New Directions for Teaching and Learning: Teaching Writing  &hellip;,",nan,0
963,PSoup: a system for streaming queries over streaming data,"Sirish Chandrasekaran, Michael J. Franklin",VLDB J.,2003,20663,Reliability aspects of optical fibre systems and networks,"P Cochrane, DJT Heatley","BT TECHNOLOGY JOURNAL,",1994.0,0
1542,Efficient Query Processing for Multi-Dimensionally Clustered Tables in DB2,"Matthew Huras, Leslie Cranston, Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Timothy Malkemus, Tony Lai",VLDB,2003,9772,EEG-based brain computer communication: Improvement by Bayesian discriminant analysis,"GE Fabiani, DJ McFarland, JR Wolpaw, G",Proc. Soc. Neuroscience 29th Annu.,nan,0
197,An Automated System for Web Portal Personalization,"Philip S. Yu, Charu C. Aggarwal",VLDB,2002,13967,"C. Sunshine, and D. Cohen,&quot; The ARPA Internet Protocol,&quot;",J Postel,Computer,nan,0
481,Telcordia's Database Reconciliation and Data Quality Analysis Tool,"Munir Cochinwala, Francesco Caruso, Paolo Missier, Uma Ganapathy, Gail Lalk",VLDB,2000,13774,Lattice-Based Access Control Models,RS Sandhu,nan,nan,0
1230,Merge Replication in Microsoft's SQL Server 7.0,Brad Hammond,SIGMOD Conference,1999,23900,The past was no illusion,W Bransford,"Acm Press Siggraph Series,",1998.0,0
1273,XQuery: A Query Language for XML,Donald D. Chamberlin,SIGMOD Conference,2003,23658,Using laptops in engineering courses for real-time data collection and analysis,"MW Ohland, EA Stephan","New Directions for Teaching and Learning,",2005.0,0
427,Calls for Papers / Announcements,?,SIGMOD Record,1994,28513,Release 9.5,DU Manual,"ISE Integrated Systems Engineering AG, Zurich, Switzerland,",nan,0
817,Interviewing During a Tight Job Market,"Zachary G. Ives, Qiong Luo",SIGMOD Record,2002,13194,"University of California, Santa Barbara Ph. D. 1985, 267 pages. On the structure of rule-based",LJ GORENFLO,nan,nan,0
1252,On Relational Support for XML Publishing: Beyond Sorting and Tagging,"Raghav Kaushik, Jeffrey F. Naughton, Surajit Chaudhuri",SIGMOD Conference,2003,31465,Efficient schemes for managing multiversionXML documents,"SY Chien, VJ Tsotras, C Zaniolo","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,0
1259,"The sensor spectrum: technology, trends, and requirements","Samuel Madden, Wei Hong, Joseph M. Hellerstein",SIGMOD Record,2003,15877,"Changes in the region of the choriocapillaris in ageing and degeneration Shimizu, K Oosterhuis, J",SH Sarks,"Proceedings of the 23rd Concilium Ophthalmologicum, Kyoto,  &hellip;,",nan,0
38,Why Decision Support Fails and How To Fix It,"Kevin Strehlo, Ralph Kimball",SIGMOD Record,1995,11068,Foreword,M Reeve,"BT Technology Journal,",2002.0,0
1655,Toward Autonomic Computing with DB2 Universal Database,"Guy M. Lohman, Daniel C. Zilio, Sam Lightstone",SIGMOD Record,2002,24390,Structure and orientation of molecules chemisorbed on alumina: A tunneling spectroscopy study,JT Hall,"Ph. D. Thesis California Univ., Santa Barbara.,",1978.0,0
1315,NoDoSE - A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents,Brad Adelberg,SIGMOD Conference,1998,26440,Hardware accelerated rendering of csg and transparency,MKK Gould??¦,"Proc. of ACM Siggraph,",nan,0
478,Are Web Services the Next Revolution in e-Commerce? (Panel),"Umeshwar Dayal, Gerhard Weikum, Rakesh Agrawal, Johannes Klein, Shalom Tsur, Serge Abiteboul",VLDB,2001,7977,Exploiting Constraints inDesign Synthesis,J Finger,"Technical Report STAN-CS-88-1204, Stanford University",nan,0
1692,Monotonic complements for independent data warehouses,"Gottfried Vossen, Jens Lechtenb?rger, Dominique Laurent, Nicolas Spyratos",VLDB J.,2001,45552,Essays in commutative harmonic analysis,"CC Graham, OC McGehee",1979,nan,0
10,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann",VLDB,1994,36791,New prospectives in information retrieval techniques: a hypertext prototype in environmental law,"M Agosti, A Archi, R Colotti, RM Di Giorgi, G",Online,nan,0
2300,Balancing Histogram Optimality and Practicality for Query Result Size Estimation,"Yannis E. Ioannidis, Viswanath Poosala",SIGMOD Conference,1995,31398,A Model Transformation Approach to Automatic Model Construction and Evolution,Y Lin,"Proceedings of the 20th IEEE/ACM international Conference on &hellip;,",2005.0,0
1320,Extending Practical Pre-Aggregation in On-Line Analytical Processing,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",VLDB,1999,9675,Lexical guidance in sentence processing: Further support for a?® filtering account,"BC Adams, C Clifton, DC Mitchell","Unpublished manuscript,",nan,0
1705,An adaptive peer-to-peer network for distributed caching of OLAP results,"Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan, Wee Siong Ng, Panos Kalnis",SIGMOD Conference,2002,23961,The Leadership Role of a Dean,CM Fagin,"New Directions for Higher Education,",1997.0,0
1577,Instance-based attribute identification in database integration,"Roger H. L. Chiang, Ee-Peng Lim, Chua Eng Huang Cecil",VLDB J.,2003,9523,Benzodiazepine facilitation of opiate reward,BM Walker,1999,nan,0
1905,Infosphere Project: System Support for Information Flow Applications,"Calton Pu, Jonathan Walpole, Karsten Schwan",SIGMOD Record,2001,44798,"Vertebrate endocrinology, p. 634",DO Norris,"San Diego,",nan,0
2345,A Language Based Multidatabase System,"Konrad Schwarz, eva K?hn, Thomas Tschernko",SIGMOD Conference,1994,8868,Role of Apoptosis in the Progression of Glomerulosclerosis,"H Makino, N Kashihara, H Sugiyama, T Sekikawa, Z","CONTRIBUTIONS TO NEPHROLOGY,",1996.0,0
667,A Data Model and Data Structures for Moving Objects Databases,"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G?ting",SIGMOD Conference,2000,17598,A Framework for Linking Culture and Improvement Initiatives in Organizations,"JR Detert, RG Schroeder, JJ Mauriel","ACADEMY OF MANAGEMENT REVIEW,",2000.0,0
409,Research Activities in Database Management and Information Retrieval at the University of Illinois at Chicago,"A. Prasad Sistla, Isabel F. Cruz, Ashfaq A. Khokhar, Clement T. Yu, Bing Liu, Ouri Wolfson",SIGMOD Record,2002,46390,Ban on sex test clinics unwise,D Kumar,"Times of India (Bombay),",nan,0
584,Rondo: A Programming Platform for Generic Model Management,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",SIGMOD Conference,2003,13696,New age components for old-fashioned java,"S McDirmid, M Flatt, WCH Jiazzi",Proc. of ACM SIGPLAN,nan,0
1084,A Probabilistic Relational Model and Algebra,"Debabrata Dey, Sumit Sarkar",ACM Trans. Database Syst.,1996,2179,A probabilistic relational model,"D Dey, S Sarkar","ACM Trans. Database Systems,",nan,1
604,A template model for multidimensional inter-transactional association rules,"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han",VLDB J.,2002,2147,Mediating Representations for Knowledge Acquisition,"JM Bradshaw, JH Boose","Boeing Computer Services, Seattle, Washington,",nan,0
867,An Optimal and Progressive Algorithm for Skyline Queries,"Bernhard Seeger, Dimitris Papadias, Greg Fu, Yufei Tao",SIGMOD Conference,2003,33051,Goals and Benchmarks for Autonomic Configuration Recommenders,"M Consens, D Barbosa, A Teisanu, L Mignet","Proceedings of the 2005 ACM SIGMOD international conference  &hellip;,",2005.0,0
785,Incremental Maintenance of Externally Materialized Views,"Martin Staudt, Matthias Jarke",VLDB,1996,9899,Images of anr???s,G Kozlowski,Unpublished,nan,0
1642,A Chase Too Far?,"Val Tannen, Arnaud Sahuguet, Alin Deutsch, Lucian Popa",SIGMOD Conference,2000,54899,Four-Year Impacts of Ten Programs on Employment Stability and Earnings Growth,S Freedman,"New York: Manpower Demonstration Research Corporation,",nan,0
667,A Data Model and Data Structures for Moving Objects Databases,"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G?ting",SIGMOD Conference,2000,47949,A simulation approach to the selection of construction equipment. Construction Institute,P Teicholz,1963,nan,0
602,A Nanotechnology-based Approach to Data Storage,"B. Gotsmann, A. Dholakia, G. Cherubini, Walter H?berle, H. Pozidis, Michel Despont, Richard Stutz, P. B?chtold, C. Hagleitner, T. R. Albrecht, Hugo E. Rothuizen, Gerd K. Binnig, D. Jubin, A. Pantazi, M. A. Lantz, E. Eleftheriou, Urs D?rig, T. Loeliger, Peter Vettiger, D. Wiesmann, Ute Drechsler",VLDB,2003,31145,The Roepke Lecture in Economic Geography the Collective Order of Flexible Production Agglomerations:,AJ Scott,"Economic Geography,",1992.0,0
1181,An XML-based Wrapper Generator for Web Information Extraction,"David Buttler, Wei Tang, Calton Pu, Wei Han, Ling Liu",SIGMOD Conference,1999,24227,IF YOU ARE NOT A PREMIER CUSTOMER,ISATYOWN RISK,nan,nan,0
1999,Mapping Data in Peer-to-Peer Systems: Semantics and Algorithmic Issues,"Ren?e J. Miller, Anastasios Kementsietsidis, Marcelo Arenas",SIGMOD Conference,2003,31218,Announced dynamic access probability protocol for next generation wireless networks,"Z Naor, H Levy","Computer Networks,",2003.0,0
1617,Rule Languages and Internal Algebras for Rule-Based Optimizers,"Mitch Cherniack, Stanley B. Zdonik",SIGMOD Conference,1996,30494,The sum-product and max-product algorithms for graph partitions,PJ Cowans,2004,nan,0
1636,E-Services - Guest editorial,"Dimitrios Georgakopoulos, Ming-Chien Shan, Fabio Casati",VLDB J.,2001,12190,"Residency-trained emergency physicians: their demographics, practice evolution, and attrition from","KN Hall, MA Wakeman","Journal of Emergency Medicine,",1999.0,0
443,Searching in metric spaces by spatial approximation,Gonzalo Navarro,VLDB J.,2002,51696,"Burkert, &amp; Smith","MM Mac Low, RS Klessen","MD,",nan,0
449,Improving OLTP Data Quality Using Data Warehouse Mechanisms,"Matthias Jarke, Dirk Lehmann, Gunter Michalk, Guido Blees, Stefan Striel, Christoph Quix",SIGMOD Conference,1999,6114,Mood and the Use of Scripts: Does a Happy Mood Really Lead to Mindlessness?,"H Bless, GL Clore, N Schwarz, V Golisano, C Rabe,","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1996.0,0
1832,Reverse Nearest Neighbor Aggregates Over Data Streams,"Flip Korn, S. Muthukrishnan, Divesh Srivastava",VLDB,2002,7210,E-business essentials,MP Graven,PC,nan,0
24,High Level Indexing of User-Defined Types,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon?a Mattos",VLDB,1999,9099,An improved method for the indexing of software,"S Lambert, Y Saintigny, F Delacote, F Amiot, B","Information and Software Technology,",1999.0,0
1708,Towards Data Mining Benchmarking: A Testbed for Performance Study of Frequent Pattern Mining,"Hua Zhu, Kan Hu, Jian Pei, Runying Mao",SIGMOD Conference,2000,52954,Sequential and multi-population memetic algorithms for assigning cells to switches in mobile,"A Quintero, S Pierre, A Quintero, S Pierre","Computer Networks,",2003.0,0
1630,Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,"Florian Krebs, Christian B?hm, Bernhard Braunm?ller, Hans-Peter Kriegel",SIGMOD Conference,2001,10638,Customizable virtual private network service with QoS,"LK Lim, J Gao, TSE Ng, PR Chandra, P Steenkiste, H","Computer Networks,",2001.0,0
412,Logical and Physical Versioning in Main Memory Databases,"S. Seshadri, Rajeev Rastogi, Abraham Silberschatz, Philip Bohannon, Dennis W. Leinbaugh, S. Sudarshan",VLDB,1997,61038,A Neurofuzzy Approach to Future Intelligent Driver Support Systems,"ND Matthews, PE An, JM Roberts, CJ Harris","Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",1998.0,0
1641,Formal Query Languages for Secure Relational Databases,"Marianne Winslett, Kenneth Smith, Xiaolei Qian",ACM Trans. Database Syst.,1994,41654,On the Development of Data Base Editions,"RW Taylor, DW Stemple","IFIP Working Conference Data Base Management,",nan,0
2157,Fault Tolerant Design of Multimedia Servers,"Richard R. Muntz, Leana Golubchik, Steven Berson",SIGMOD Conference,1995,17744,The Nucleus: Panel Discussion,FL Whipple,"Study of Comets, Proceedings of IAU Colloq. 25, held in  &hellip;,",1976.0,0
1375,Analysis of predictive spatio-temporal queries,"Dimitris Papadias, Jimeng Sun, Yufei Tao",ACM Trans. Database Syst.,2003,41830,Computation of intraprocedural dynamic program slices,"GB Mund, R Mall, S Sarkar","Information and Software Technology,",nan,0
53,Updating XML,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,2001,6291,Updating xml. ACM Intl,"I Tatarinov, ZG Ives, A Halevy, D Weld","Conference on Management of Data (SIGMOD),",nan,1
1396,Constraints for Semi-structured Data and XML,"Wenfei Fan, Peter Buneman, Scott Weinstein, J?r?me Sim?on",SIGMOD Record,2001,56560,Program improvement through values audit,DC Smith,"&hellip;  directions for continuing education: Evaluation for program &hellip;,",nan,0
2493,OLAP++: Powerful and Easy-to-Use Federations of OLAP and Object Databases,"Junmin Gu, Arie Shoshani, Torben Bach Pedersen",VLDB,2000,7645,Canada???s Atlantic fisheries: new opportunities and problems,J Coull,"Geography,",nan,0
1908,WATCHMAN : A Data Warehouse Intelligent Cache Manager,"Peter Scheuermann, Radek Vingralek, Junho Shim",VLDB,1996,38422,Self-schemas and gender,"H Markus, M Crane, S Bernstein, M Siladi","Journal of Personality and Social Psychology,",nan,0
301,XPRESS: A Queriable Compression for XML Data,"Myung-Jae Park, Jun-Ki Min, Chin-Wan Chung",SIGMOD Conference,2003,18109,Agent-based Electronic Commerce???Tutorial,ES Lee,"International Conference on Electronic Commerce (ICEC&#39;98),(",nan,0
2492,Eddies: Continuously Adaptive Query Processing,"Ron Avnur, Joseph M. Hellerstein",SIGMOD Conference,2000,58733,Process assessment: the'BOOTSTRAP' approach,GR Koch,"Information and Software Technology,",1993.0,0
1255,POESIA: An ontological workflow approach for composing Web services in agriculture,"Ling Liu, Eduardo Delgado Assad, Calton Pu, Renato Fileto, Claudia Bauzer Medeiros",VLDB J.,2003,36834,"Belenkov,&quot; New aspects of the structural and functional organization of the brain,&quot;",N Yu,Proceedings of the 23rd Conference on Problems in Higher,nan,0
