tableA_id,tableA_name,tableA_phone_number,tableA_street,tableB_id,tableB_name,tableB_phone_number,tableB_street,label
85,nan,nan,8358 sunset blvd. west,31,kyo-ya. sheraton palace hotel,415/546-5000,nan,0
3,nan,nan,570 4th st.,1494,nan,nan,501 geary st.,0
207,santa monica,nan,nan,2103,nan,nan,2285 peachtree rd.  peachtree battle condominium,0
17,island spice,212/765-1737,nan,253,nan,nan,133 clement st.,0
250,cafe  ritz-carlton  buckhead,404/237-2700,nan,1486,ritz-carlton cafe (buckhead),404-237-2700,nan,1
254,seryna,212/980-9393,nan,2241,atlanta fish market,404/262-3165,nan,0
130,san domenico,212/265-5959,nan,466,san domenico,212-265-5959,nan,1
125,nikolai's roof,404/221-6362,nan,1786,nan,nan,5975 roswell rd.,0
174,mifune japan center  kintetsu building,415/922-0337,nan,2248,nan,nan,4274 peachtree rd.,0
49,dawat,212/355-7555,nan,259,nan,nan,181 peachtree st.,0
188,nan,nan,41 14th st.,1314,nan,nan,128 e. fremont st.,0
174,mifune japan center  kintetsu building,415/922-0337,nan,1489,szechuan kitchen,212-249-4615,nan,0
104,tavern on the green,212/873-3200,nan,1749,nan,nan,59 grand st.  between wooster st. and w. broadway,0
273,les celebrites,212/484-5113,nan,1381,les celebrites,212-484-5113,nan,1
176,nan,nan,2290 peachtree rd.  peachtree square shopping center,964,nan,nan,121 prince st.,0
297,postrio,415/776-7825,nan,826,nan,nan,3300 geary blvd.,0
208,le bernardin,212/489-1515,nan,1850,le bernardin,212-489-1515,nan,1
297,postrio,415/776-7825,nan,1564,yama,212-475-0969,nan,0
66,nan,nan,22 hawthorne st.,1797,nan,nan,87 e. fourth st.,0
271,nan,nan,1232 w. paces ferry rd.,1518,nan,nan,220 sandy springs circle,0
239,nan,nan,624 s. la brea ave.,695,nan,nan,57 w. 48th st.,0
111,nan,nan,617 s. olive st.,118,steakhouses,nan,nan,0
247,arnie morton's of chicago,310/246-1501,nan,593,nan,nan,342 e. 46th st.  between 1st and 2nd aves.,0
74,hollywood,nan,nan,174,nan,nan,804 north point st.,0
206,nan,nan,255 courtland st.  at harris st.,1256,canoe,770-432-2663,nan,0
215,heera of india,404/876-4408,nan,1831,felix,212/431-0021,nan,0
91,georgia grille,404/352-3517,nan,324,japanese,nan,nan,0
330,nan,nan,435 s. la cienega blv.,814,les halles,212/679-4111,nan,0
71,cafe lalo,212/496-6031,nan,1235,cafe lalo,212-496-6031,nan,1
109,masa's,415/989-7154,nan,387,cafe renaissance,770/441--0291,nan,0
165,nan,nan,160 e. 64th st.,1681,nan,nan,631 b kearny st.,0
301,buckhead diner,404/262-3336,nan,1077,republic,212/627-7172,nan,0
181,nan,nan,100 e. 63rd st.,599,maxwell's cafe,310-306-7829,nan,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,nan,2228,asahi ramen,310-479-2231,nan,0
30,nan,nan,13 w. 54th st.,573,l'orangerie,310-652-9770,nan,0
284,aquavit,212/307-7311,nan,2030,au mandarin,212/385-0313,nan,0
148,nan,nan,224 ponce de leon ave.,1601,nan,nan,10516 w. pico blvd.,0
232,gotham bar & grill,212/620-4020,nan,2131,nan,nan,2411 w. sahara ave.,0
196,carmine's,212/362-2200,nan,971,nan,nan,57 e. 57th st.,0
138,le montrachet,702/732-5111,nan,1513,nan,nan,21 west 17th st.  between 5th and 6th aves.,0
123,nan,nan,b peachtree rd.,104,el teddy's,212/941-7070,nan,0
254,seryna,212/980-9393,nan,460,nan,nan,7050 jimmy carter blvd.  norcross,0
284,aquavit,212/307-7311,nan,473,le dome,310/659-6919,nan,0
264,nan,nan,405 e. 58th st.,2062,grill  the,310-276-0615,nan,0
150,la cote basque,212/688-6525,nan,53,marquet patisserie,212/229-9313,nan,0
69,river cafe,718/522-5200,nan,925,river cafe,718-522-5200,nan,1
131,nan,nan,210 e. 58th st.,2169,nan,nan,21 w. 52nd st.,0
44,studio city,nan,nan,1518,nan,nan,220 sandy springs circle,0
11,los angeles,nan,nan,1812,nan,nan,8 sixth st.,0
80,fleur de lys,415/673-7779,nan,1104,nan,nan,1521 hyde st.,0
264,nan,nan,405 e. 58th st.,1178,nan,nan,519 columbus ave.,0
209,nan,nan,9560 dayton way,104,el teddy's,212/941-7070,nan,0
331,nan,nan,3434 peachtree rd.,529,nan,nan,120 w. 23rd st.,0
309,pinot bistro,818/990-0500,nan,1249,la caravelle,212-586-4252,nan,0
219,picholine,212/724-8585,nan,60,picholine,212-724-8585,nan,1
116,nan,nan,701 stone canyon rd.,1459,nan,nan,3380 peachtree rd.,0
167,alain rondelli,415/387-0408,nan,290,nan,nan,2575 beverly blvd.,0
8,aureole,212/ 319-1660,nan,1698,aureole,212-319-1660,nan,1
150,la cote basque,212/688-6525,nan,1356,nan,nan,72 macdougal st.  between w. houston and bleecker sts.,0
61,matsuhisa,310/659-9639,nan,144,peacock alley,212/872-4895,nan,0
207,santa monica,nan,nan,1683,stars cafe,415/861-4344,nan,0
1,la grotta,404/231-1368,nan,1084,la grotta,404-231-1368,nan,1
181,nan,nan,100 e. 63rd st.,2130,campanile,213-938-1447,nan,0
14,chin's,702/733-8899,nan,2209,des alpes,415/788-9900,nan,0
302,nan,nan,2709 main st.,601,shun lee palace,212-371-8844,nan,0
250,cafe  ritz-carlton  buckhead,404/237-2700,nan,677,parkway grill,818-795-1001,nan,0
329,tillerman,702/731-4036,nan,2143,nan,nan,50 macdougal st.  between houston and prince sts.,0
273,les celebrites,212/484-5113,nan,175,buccaneer bay club,702-894-7350,nan,0
196,carmine's,212/362-2200,nan,1538,nan,nan,7261 melrose ave.,0
311,nan,nan,252 california st.,1003,nan,nan,138 lafayette st.  between canal and howard sts.,0
171,uncle nick's,212/315-1726,nan,22,nan,nan,150 w. 46th st.,0
120,nan,nan,1114 horn ave.,595,morton's,212/972-3315,nan,0
274,nan,nan,156 2nd ave. at 10th st.,2138,lanza restaurant,212/674-7014,nan,0
115,bacchanalia,404/365-0410,nan,1249,la caravelle,212-586-4252,nan,0
3,nan,nan,570 4th st.,1479,oyster bar,212-490-6650,nan,0
139,nan,nan,249 e. 50th st.,1526,nan,nan,1161 1st ave.  between 63rd and 64th sts.,0
232,gotham bar & grill,212/620-4020,nan,1701,nan,nan,13 w. 54th st.,0
207,santa monica,nan,nan,1218,stoyanof's cafe,415/664-3664,nan,0
12,nan,nan,2880 las vegas blvd. s,1670,lattanzi ristorante,212/315-0980,nan,0
46,smith & wollensky,212/753-1530,nan,998,nan,nan,underground underground mall  underground atlanta,0
305,ritz-carlton restaurant and dining room,415/296-7465,nan,1523,nan,nan,1949 westwood blvd.,0
107,felidia,212/758-1479,nan,1772,felidia,212-758-1479,nan,1
264,nan,nan,405 e. 58th st.,1042,nan,nan,2150 broadway  between 75th and 76th sts.,0
337,nan,nan,854 7th ave.  between 54th and 55th sts.,145,nan,nan,432 sixth ave.,0
194,second avenue deli,212/677-0606,nan,1431,my thai,404-636-4280,nan,0
138,le montrachet,702/732-5111,nan,2003,palace court,702-731-7110,nan,0
42,las vegas,nan,nan,255,pan-asian,nan,nan,0
127,grill on the alley,310/276-0615,nan,1314,nan,nan,128 e. fremont st.,0
35,nan,nan,1 mission st.,1522,il nido,212/753-8450,nan,0
221,21 club,212/582-7200,nan,1023,nan,nan,3347 fillmore st.,0
314,nan,nan,12 e. 12th st.,1132,nan,nan,4017 s. sepulveda blvd.,0
224,aqua,415/956-9662,nan,232,aqua,415-956-9662,nan,1
178,brooklyn,nan,nan,1782,montien,212/421-4433,nan,0
30,nan,nan,13 w. 54th st.,733,eric's chinese restaurant,415-282-0919,nan,0
196,carmine's,212/362-2200,nan,634,nan,nan,948 1st ave.  between 52nd and 53rd sts.,0
157,hedgerose heights inn,404/233-7673,nan,222,hedgerose heights inn  the,404-233-7673,nan,1
51,lulu,415/495-5775,nan,1854,nan,nan,260 e. paces ferry road,0
131,nan,nan,210 e. 58th st.,710,michael's (las vegas),702-737-7111,nan,0
219,picholine,212/724-8585,nan,55,nan,nan,265 pharr rd.,0
292,nan,nan,155 w. 51st st.,1239,nan,nan,34 e. 61st st.,0
206,nan,nan,255 courtland st.  at harris st.,1005,nan,nan,483 amsterdam ave.,0
209,nan,nan,9560 dayton way,1754,docks,212/ 986-8080,nan,0
30,nan,nan,13 w. 54th st.,656,caffe greco,415-397-6261,nan,0
67,nan,nan,1110 3rd ave. at 65th st.,1248,nan,nan,1829 peachtree rd.,0
274,nan,nan,156 2nd ave. at 10th st.,1650,nan,nan,25 irby ave.,0
196,carmine's,212/362-2200,nan,201,nan,nan,8909 sunset blvd.,0
179,bone's,404/237-2663,nan,1215,ruby's (la),818-796-7829,nan,0
33,delectables,404/681-2909,nan,1147,delectables,404-681-2909,nan,1
46,smith & wollensky,212/753-1530,nan,1933,smith & wollensky,212-753-1530,nan,1
280,citrus,213/857-0034,nan,1196,citrus,213-857-0034,nan,1
238,brasserie le coze,404/266-1440,nan,1013,brasserie le coze,404-266-1440,nan,1
305,ritz-carlton restaurant and dining room,415/296-7465,nan,42,nan,nan,2027 sawtelle blvd.,0
180,nan,nan,14016 ventura blvd.,1833,zarzuela,415/346-0800,nan,0
169,nan,nan,600 stockton st.,1474,bone's restaurant,404-237-2663,nan,0
74,hollywood,nan,nan,1595,nan,nan,2217 union st.,0
78,nan,nan,2 e. 55th st.,279,mulberry st.,818-906-8881,nan,0
43,toulouse,404/351-9533,nan,1782,montien,212/421-4433,nan,0
171,uncle nick's,212/315-1726,nan,1001,uncle nick's,212-245-7992,nan,1
104,tavern on the green,212/873-3200,nan,1220,nan,nan,8360 melrose ave.,0
86,nan,nan,30 rockefeller plaza,1625,nan,nan,210 e. 46th st.,0
33,delectables,404/681-2909,nan,1772,felidia,212-758-1479,nan,0
84,nan,nan,2637 peachtree rd.  peachtree house condominium,1216,nan,nan,551 amsterdam ave.  between 86th and 87th sts.,0
82,nan,nan,3rd st.,1751,nan,nan,15322 ventura blvd.,0
53,nan,nan,12969 ventura blvd.,139,russian/german,nan,nan,0
303,nan,nan,35 w. 64th st.,360,nan,nan,601 hayes st.,0
102,bel air,nan,nan,1683,stars cafe,415/861-4344,nan,0
229,union square cafe,212/243-4020,nan,539,union square cafe,212-243-4020,nan,1
95,park avenue cafe,212/644-1900,nan,655,nan,nan,764 marietta st. nw,0
271,nan,nan,1232 w. paces ferry rd.,1974,south of france,404/325-6963,nan,0
260,shun lee west,212/371-8844,nan,1154,veni vidi vici,404-875-8424,nan,0
143,la caravelle,212/586-4252,nan,1763,baja fresh,805-498-4049,nan,0
219,picholine,212/724-8585,nan,390,bradshaw's restaurant,404-261-7015,nan,0
243,nan,nan,67 n. raymond ave.,404,kelley & ping,212-228-1212,nan,0
126,nan,nan,201 e. 49th st.,915,mavalli palace,212/679-5535,nan,0
167,alain rondelli,415/387-0408,nan,694,alain rondelli,415-387-0408,nan,1
61,matsuhisa,310/659-9639,nan,854,mi cocina,212-627-8273,nan,0
246,philippe's the original,213/628-3781,nan,1577,rib ranch,404/233-7644,nan,0
257,carnegie deli,212/757-2245,nan,1651,tomtom,404/264-1163,nan,0
184,nan,nan,3115 pico blvd.,1081,nan,nan,3110 main st.,0
40,spago,310/652-4025,nan,1764,spago (los angeles),310-652-4025,nan,1
246,philippe's the original,213/628-3781,nan,225,sea grill,212/332-7610,nan,0
283,pisces,212/260-6660,nan,1005,nan,nan,483 amsterdam ave.,0
95,park avenue cafe,212/644-1900,nan,990,park avenue cafe (new york city),212-644-1900,nan,1
192,nan,nan,in central park at 67th st.,1478,nan,nan,3125 piedmont rd.,0
125,nikolai's roof,404/221-6362,nan,162,nikolai's roof,404-221-6362,nan,1
138,le montrachet,702/732-5111,nan,842,nan,nan,2930 beverly glen circle,0
329,tillerman,702/731-4036,nan,1711,cajun,nan,nan,0
331,nan,nan,3434 peachtree rd.,1353,nan,nan,507 columbus ave.  between 84th and 85th sts.,0
77,coyote cafe,702/891-7349,nan,1235,cafe lalo,212-496-6031,nan,0
280,citrus,213/857-0034,nan,1856,colonnade restaurant,404/874-5642,nan,0
183,march,212/754-6272,nan,1087,nan,nan,837 second ave.,0
80,fleur de lys,415/673-7779,nan,1985,nan,nan,18 e. broadway at catherine st.,0
326,nan,nan,1001 n. alameda st.,666,nan,nan,430 lafayette st.  between 4th st. and astor pl.,0
243,nan,nan,67 n. raymond ave.,646,nan,nan,3525 mall blvd.,0
217,nan,nan,804 northpoint,1175,brothers bar-b-q,212/727-2775,nan,0
306,mi cocina,212/627-8273,nan,2074,perry's,415/922-9022,nan,0
207,santa monica,nan,nan,68,nan,nan,923 peachtree st.  at 8th st.,0
246,philippe's the original,213/628-3781,nan,486,cafe marimba,415/776-1506,nan,0
232,gotham bar & grill,212/620-4020,nan,887,nan,nan,160 e. 48th st.,0
219,picholine,212/724-8585,nan,218,rain,212/501-0776,nan,0
57,nan,nan,12224 ventura blvd.,87,nan,nan,296 bleecker st.,0
59,lutece,212/752-2225,nan,665,la taqueria,415-285-7117,nan,0
105,nan,nan,1529 piedmont ave.,1812,nan,nan,8 sixth st.,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,nan,731,circus circus,702/734-0410,nan,0
226,nan,nan,532 columbus ave.,533,nan,nan,100 e. 63rd st.,0
172,beverly hills,nan,nan,180,nan,nan,3345 steiner st.,0
279,indigo coastal grill,404/876-0676,nan,1549,indigo coastal grill,404-876-0676,nan,1
102,bel air,nan,nan,1179,ca'del sol,818/985-4669,nan,0
107,felidia,212/758-1479,nan,851,cava,213/658-8898,nan,0
138,le montrachet,702/732-5111,nan,938,le montrachet bistro,702-732-5651,nan,1
56,abruzzi,404/261-8186,nan,151,abruzzi,404-261-8186,nan,1
74,hollywood,nan,nan,1170,mayflower cuisinier,702-870-8432,nan,0
202,nan,nan,9001 santa monica blvd.,1660,nan,nan,1340 1st ave. at 72nd st.,0
51,lulu,415/495-5775,nan,1671,nan,nan,400 waller st.,0
254,seryna,212/980-9393,nan,1673,pacific pan pacific hotel,415/929-2087,nan,0
313,nan,nan,21 e. 16th st.,205,mario's bohemian cigar store cafe,415-776-8226,nan,0
306,mi cocina,212/627-8273,nan,773,cafe des artistes,212-877-3500,nan,0
233,nan,nan,1972 n. hillhurst ave.,248,pricci,404/237-2941,nan,0
267,nan,nan,5955 melrose ave.,1849,jan's family restaurant,213-651-2866,nan,0
25,nan,nan,95 ave. a at 6th st.,1946,nan,nan,61a seventh ave.,0
333,lespinasse,212/339-6719,nan,251,nan,nan,111 e. 22nd st.  between park ave. s and lexington ave.,0
4,nan,nan,43 w. 65th st.,290,nan,nan,2575 beverly blvd.,0
