tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
3219,nan,Vladimir Ushakov,nan,nan,2011-01-01,1920-01-01,nan,nan,nan,actor,nan,6031,nan,Fran?ois L?onard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1718,nan,Caio Rodriguez,nan,nan,nan,nan,nan,nan,nan,"editor,editorial_department",nan,4517,nan,Danny Chung,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4180,nan,Vivi Janiss,nan,nan,1988-01-01,1911-01-01,nan,nan,nan,actress,nan,296,nan,Stefka Yanorova,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4360,nan,Hal Geer,nan,nan,2017-01-01,1916-01-01,nan,nan,nan,"editor,producer,camera_department",nan,2430,nan,Andrew MacDonald Brown,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2546,nan,Nick Pullar,nan,nan,nan,nan,nan,nan,nan,nan,nan,2287,[39] Kabukimonogatari [3] Mayoi Jiangshi - Part 3,nan,"After succeeding in changing the destiny of Hachikuji, Koyomi Araragi and Shinobu Oshino returned to August 21st 11 years in the future. There, the two of them find out that their original world had been completely annihilated. ",8.0,3.0,nan,nan,nan,2013-09-01,nan,2013-01-01,nan,nan,nan,0
1323,nan,Joseph Lejtes,nan,nan,1983-01-01,1901-01-01,nan,nan,nan,"director,writer,producer",nan,4522,nan,Radiotelevis?o Portuguesa (RTP),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PT,0
4869,nan,Max Lamb,nan,nan,nan,nan,nan,nan,nan,"miscellaneous,writer",nan,930,nan,Horst Naumann,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1503,nan,Mikhail Gluzskiy,nan,nan,2001-01-01,1918-01-01,nan,nan,nan,actor,nan,5634,Episode 5,nan,"'Sketches:Muslim Woody Allen,Fat Boy - Birthday cake,Minx Twins - Gay disco,Fat Boy - Chicken,The Marriage Emporium,Chat Up,Indian Wedding,Mr 'Everything Comes From India' - Words,Minx Twins - Street,Fat Boy - Paddling pool,Lack of Indian Culture,Mr 'Everything Comes From India' - Books,Minx Twins - Swing,Immigration (song),Fat Boy - Trifle,Guilt Trip Parents,Minx Twins - FootballAd Agency,Tampon Ad,Mr 'Everything Comes From India' - Car parts.",5.0,1.0,nan,nan,nan,1998-02-09,nan,1998-01-01,nan,nan,nan,0
2735,nan,Doug Hastings,nan,nan,nan,nan,nan,nan,nan,cinematographer,nan,114,nan,Thomas Stipsits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,John Bayliss,nan,nan,nan,nan,nan,nan,nan,actor,nan,3020,nan,Son Ho-jun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3766,nan,Jean Howell,nan,nan,1996-01-01,1927-01-01,nan,nan,nan,"actress,writer,soundtrack",nan,3078,nan,Lois Burwell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3587,nan,Paige Locke,nan,nan,nan,nan,nan,nan,nan,"actress,miscellaneous,producer",nan,2344,nan,Saku,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1530,nan,Nicky Guadagni,nan,nan,nan,nan,nan,nan,nan,"actress,producer",nan,1144,Episode 38,nan,nan,38.0,1.0,nan,nan,nan,2003-03-13,nan,2003-01-01,nan,nan,nan,0
3193,"Strangled, Not Stirred",nan,19.0,6.0,nan,nan,nan,1998-01-01,"Crime,Drama,Mystery",nan,nan,1433,nan,Kan 11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IL,0
2375,nan,John Milford,nan,nan,2000-01-01,1927-01-01,nan,nan,nan,"actor,soundtrack",nan,429,nan,Jaroslav Marvan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4131,nan,Sandra Gould,nan,nan,1999-01-01,1916-01-01,nan,nan,nan,actress,nan,3671,nan,Justin Lee Burrows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2584,nan,Bob Monkhouse,nan,nan,2003-01-01,1928-01-01,nan,nan,nan,"writer,actor,music_department",nan,5836,The Complaint,nan,"'The BBC forces Shirley to apologise on TV to Mrs Oxley. Shirley gave Mrs Oxley a reading and she complained that he'd stolen words from the obituary of a newspaper and used them in the reading.Shirley offers career advice to several people and informs them what he sees of their future occupations.Kininla, Chrissy, Erol, Stella, Kim, Joel, Sylvia and Maria are the unlucky eight to win a place at Spirit Academy. The contestants learn they only have a blanket or mattress to sleep on and only get their dinner if they can predict what it is using their psychic abilities.The Paranormalists: Shirley's Dictaphone wielding apprentice Alf Szczurek (Marc playing another character) is an exorcist and offers his services to householder Louise and her half painted home. After much ghost hunting and sexual talk down his Dictaphone, Alf traps Louise's troublesome ghost in a jam jar.C is for Cat as another letter of the psychic A ?€“ Z is revealed.Shirley invites two members of the audience onto the",3.0,1.0,nan,nan,nan,2005-03-15,nan,2005-01-01,nan,nan,nan,0
3324,nan,Yasushi Fuchikami,nan,nan,nan,1984-01-01,nan,nan,nan,actor,nan,537,nan,George Lindsey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
992,nan,Andy Collins,nan,nan,nan,1961-01-01,nan,nan,nan,"cinematographer,camera_department",nan,3184,nan,Richie Sanders,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4860,nan,Mary Jo Randle,nan,nan,nan,1954-01-01,nan,nan,nan,actress,nan,6031,nan,Fran?ois L?onard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4243,nan,Joseph Cotten,nan,nan,1994-01-01,1905-01-01,nan,nan,nan,"actor,soundtrack,writer",nan,5898,Champagne for One (1),nan,"Archie gets a phone call from Dinky Byne, who is expected at a dinner party that night, given by his aunt in honor of four young, unwed mothers. These women have recently left Grantham House, a home where expectant unwed mothers receive support, room and board in the months prior to giving birth. Dinky wants to beg off the dinner, saying he has a bad cold, and asks Archie to fill in for him. Archie agrees and, chatting with Rose Tuttle after dinner, learns that Faith Usher carries around a vial of cyanide. Apparently Faith wants to have it handy should she ever decide to commit suicide. Rose is worried, and Archie reassures her by promising that he'll see to it that nothing bad happens.",3.0,1.0,nan,nan,nan,2001-04-29,nan,2001-01-01,nan,nan,nan,0
1828,nan,Dana Ivey,nan,nan,nan,1941-01-01,nan,nan,nan,"actress,soundtrack",nan,4035,"Series 3, Episode 3",nan,nan,3.0,3.0,nan,nan,nan,1992-03-05,nan,1992-01-01,nan,nan,nan,0
1663,nan,Pat Harrison,nan,nan,nan,nan,nan,nan,nan,"production_manager,actor,location_management",nan,1541,nan,Katya Paskaleva,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
867,nan,Sam Northeross,nan,nan,nan,nan,nan,nan,nan,writer,nan,174,nan,Daniela Escobar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3332,nan,Catharine Barrett,nan,nan,nan,nan,nan,nan,nan,writer,nan,925,Episode 1,nan,nan,1.0,1.0,nan,nan,nan,1972-02-06,nan,1972-01-01,nan,nan,nan,0
185,nan,Billy Bretherton,nan,nan,nan,nan,nan,nan,nan,nan,nan,3577,Ten Men and a Girl,nan,nan,8.0,7.0,nan,nan,nan,1959-11-15,nan,1959-01-01,nan,nan,nan,0
1586,nan,Roberto Bangura,nan,nan,nan,1962-01-01,nan,nan,nan,"director,writer,editor",nan,4068,Hand Walk III ~ Seesaw 60,nan,nan,23.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1614,nan,Thomas Gomez,nan,nan,1971-01-01,1905-01-01,nan,nan,nan,actor,nan,5572,Instantly Delicious,nan,"'Sometimes the key to fast food is a well-stocked refrigerator and pantry. Leftover vegetables become a P?pin favorite with Jacques' Instant Vegetable Soup, also known as ''fridge soup.'' By combining a few fresh products and kitchen staples, it is simple to prepare a Lavash Pizza, Halibut on Fresh Polenta with Pepper Oil, Pole Beans with Shallots, and Hasty Pudding with Apricot Sauce.",16.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4425,The Weeping Woman,nan,5.0,2.0,nan,nan,nan,1994-01-01,"Animation,Comedy,Fantasy",nan,21.0,1369,Episode 1,nan,nan,1.0,1.0,nan,nan,nan,1963-06-06,nan,1963-01-01,nan,nan,nan,0
1356,nan,Michael Anderson Jr.,nan,nan,nan,1943-01-01,nan,nan,nan,"actor,soundtrack",nan,418,Dragons: Gift of the Night Fury,nan,"The Viking town of Berk, now enjoying its new alliance with the dragons, is preparing for its annual winter holiday of Snoggletog. However, that spirit is threatened when all the dragons, except Toothless who needs Hiccup to help him, suddenly fly away for some reason. While Astrid ineffectually tries to salvage the occasion, Hiccup decides to build Toothless a new prosthetic to allow him to fly independently, only to have the dragon take off as well. However, as the holiday approaches, Hiccup finds himself swept up to learn the dragons' secret the hard way and to find a solution to bring them home early.",nan,nan,nan,nan,nan,2011-11-15,nan,2011-01-01,22, Comedy,nan,0
1383,nan,Robert Butler,nan,nan,nan,1927-01-01,nan,nan,nan,"miscellaneous,director,writer",nan,85,Episode 11,nan,nan,11.0,1.0,nan,nan,nan,1972-03-10,nan,1972-01-01,nan,nan,nan,0
1922,nan,Bobby Slade,nan,nan,nan,nan,nan,nan,nan,actor,nan,629,nan,Jean Boffety,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5014,nan,Tiger Fafara,nan,nan,nan,1945-01-01,nan,nan,nan,actor,nan,1213,nan,Donald Likovich,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3713,nan,Fred Coby,nan,nan,1970-01-01,1916-01-01,nan,nan,nan,"actor,soundtrack",nan,2206,nan,Kam Hing-Yin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4095,Guest in the Night,nan,1.0,2.0,nan,nan,nan,1954-01-01,Drama,nan,30.0,1440,Second Rate Citizen,nan,nan,26.0,5.0,nan,nan,nan,1958-04-27,nan,1958-01-01,nan,nan,nan,0
3540,The Riding Mistress,nan,29.0,1.0,nan,nan,nan,1961-01-01,"Adventure,Drama,Family",nan,30.0,5826,The Riding Mistress,nan,nan,29.0,1.0,nan,nan,nan,1961-04-09,nan,1961-01-01,nan,nan,nan,1
2399,Fallen Arches,nan,8.0,2.0,nan,nan,nan,2006-01-01,"Action,Adventure,Animation",nan,22.0,4436,nan,Minako Kotobuki,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4590,Sex,nan,7.0,1.0,nan,nan,nan,2005-01-01,Comedy,nan,nan,1004,Sex,nan,"'Shirley tells the audience he is cooking on gas in tonight's show.Shirley visits Vauxhall City Farm and talks to the animals. He tells the farm owner that his animals are cracking jokes to one another and that one of the horses wants to visit Brazil.At Spirit Academy the final four contestants have to fight for a place in next weeks final. Shirley challenges the contestant's abilities to channel spirits on mass. Kininla is voted out of Spirit Academy.Shirley is drawn to two members of the audience, a young man and an older lady. The spirits tell Shirley they're a couple and are having problems in the relationship. After some words of advice from Shirley, the young man tells Shirley they don't know one another. Shirley changes tack and says the spirits are telling him they shouldn't be a couple anyway as they are not suited.Shirley's apprentice Ian Jackson (Marc playing another character) meets Bernard Ilsley, an Extra ?€“ Terrestrial Medium. Bernard channels an alien so Ian can ask s",7.0,1.0,nan,nan,nan,2005-04-12,nan,2005-01-01,nan,nan,nan,1
3224,nan,Roy Engel,nan,nan,1980-01-01,1913-01-01,nan,nan,nan,"actor,writer",nan,4899,nan,Mona Benjamin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1048,nan,Leon Tyler,nan,nan,nan,1932-01-01,nan,nan,nan,"actor,soundtrack",nan,3076,Tell Me Your Wish,nan,"Lee Yeong, the crown prince rescued Ra On from the deep pond. Ra On begged forgiveness to Lee Yeong. Furthermore, Mok Tae Gam from Qing requested unreasonable tribute to Joseon and Lee Yeong, the crown prince come into conflict with his father &amp; Kim Heon.",5.0,1.0,nan,nan,nan,2016-09-05,nan,2016-01-01,nan,nan,nan,0
1395,nan,Rod Campbell,nan,nan,nan,nan,nan,nan,nan,actor,nan,4062,nan,Sascha,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3474,Mercy,nan,16.0,6.0,nan,nan,nan,1998-01-01,"Crime,Drama,Mystery",nan,nan,3813,nan,Richard Roundtree,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3304,nan,Whitney Blake,nan,nan,2002-01-01,1926-01-01,nan,nan,nan,"writer,actress,director",nan,5564,nan,Emanuele Foglietti,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2433,nan,You Kurosaki,nan,nan,nan,nan,nan,nan,nan,"music_department,actor",nan,114,nan,Thomas Stipsits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1702,nan,Amanda Randolph,nan,nan,1967-01-01,1896-01-01,nan,nan,nan,"actress,soundtrack",nan,3826,nan,Yoshio Kosakai,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4660,nan,Yvonne De Carlo,nan,nan,2007-01-01,1922-01-01,nan,nan,nan,"actress,soundtrack",nan,277,nan,Bhushan Rao,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3811,nan,Frank Scheffer,nan,nan,nan,1956-01-01,nan,nan,nan,"director,producer,writer",nan,3482,Episodio 10,nan,nan,10.0,1.0,nan,nan,nan,2003-01-22,nan,2003-01-01,nan,nan,nan,0
1178,Tale of a Cayuse,nan,26.0,2.0,nan,nan,nan,1955-01-01,Drama,nan,nan,1330,nan,Cary Joji Fukunaga,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4238,nan,Len Doncheff,nan,nan,nan,nan,nan,nan,nan,actor,nan,4694,nan,Bas?lio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3311,nan,Leonid Kuravlyov,nan,nan,nan,1936-01-01,nan,nan,nan,actor,nan,4060,nan,Leonid Kuravlyov,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
3295,The Count of Monte Cristo,nan,nan,nan,nan,nan,1979-01-01,1979-01-01,"Drama,History",nan,60.0,2544,nan,Charo L?pez,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1973,nan,Christopher Kyle,nan,nan,nan,nan,nan,nan,nan,writer,nan,4663,nan,Henning Schl?ter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2631,nan,Kana Hanazawa,nan,nan,nan,1989-01-01,nan,nan,nan,"actress,soundtrack",nan,5946,"Vampires, Ghouls",nan,"In the spring of 1945 the war is still going on, but in Bulgaria the communists have already seized the power. The new rulers do justice according to their personal interests. This is the beginning of the era of Communism in Bulgaria - spiritual poverty, expropriation, destroying of the intelligentsia. In this chaos the main character, an actress fallen on hard times, wants to preserve her social status with every available means. She claims to be a Communist activist and, in order to gain access to the theater even shows a photo with the Bulgarian communist revolutionary Georgi Dimitrov's dog However, in order to survive, she has to resort to betrayal.",nan,nan,nan,nan,nan,1992-09-18,nan,1992-01-01,105,Comedy,nan,0
918,The Nanny from Hell,nan,4.0,3.0,nan,nan,nan,2002-01-01,Comedy,nan,30.0,164,The Nanny from Hell,nan,"'Larry, Cheryl, Jeff and Susie encounter a ''''nanny from hell'''' whose reign of terror is thwarted by ten sponge cakes. Larry commits a ''''penis faux pas'''' after a pool party, and Richard Lewis seeks immortality from Bartlett's Quotations.",4.0,3.0,nan,nan,nan,2002-10-06,nan,2002-01-01,nan,nan,nan,1
2136,A Very Venture Christmas,nan,14.0,1.0,nan,nan,nan,2004-01-01,"Action,Adventure,Animation",nan,11.0,1001,The Birth of Satan (1),nan,nan,13.0,1.0,nan,nan,nan,2017-03-04,nan,2017-01-01,nan,nan,nan,0
334,nan,Rachel Ward,nan,nan,nan,1957-01-01,nan,nan,nan,"actress,director,writer",nan,2926,The Same Coin,nan,"'Gharty has a Vietnam flashback. Sheppard is placed back into rotation. Lewis asks Falsone to switch cases, as Lewis is still unsure about Sheppard's ability to be back on the street in the part of town where their call lies. Munch and MGee work a case where the victim was hit and run. One of the victim's possessions is a knife that has some meaning for Gharty, who later is able to recognize the tattoo found on the victim. Sheppard confronts Lewis about the case switch. She and Stivers talk more... after Stivers, working with Falsone, sees him ''''go off'''' on a potential witness... Munch and MGee find their hit and run vehicle, a rental SUV, whose renter claims to know nothing of the incident and says he had filed a stolen-vehicle report. Munch pulls the victim's DOD file and---for good measure---Gharty's! Munch, begins to spread doubts with the other detectives about Gharty's Vietnam experience, because the file tells him that Gharty had a less than honorable discharge. A kid, who had stol",12.0,7.0,nan,nan,nan,1999-01-29,nan,1999-01-01,nan,nan,nan,0
3270,A Funeral for Max Berlin,nan,13.0,1.0,nan,nan,nan,1974-01-01,"Crime,Drama",nan,60.0,5727,Main Street,nan,nan,4.0,2.0,nan,nan,nan,2009-05-17,nan,2009-01-01,nan,nan,nan,0
900,nan,Julia Montoya,nan,nan,1993-01-01,1901-01-01,nan,nan,nan,actress,nan,3819,Episode 4,nan,nan,4.0,1.0,nan,nan,nan,1972-02-16,nan,1972-01-01,nan,nan,nan,0
835,nan,Jack Chefe,nan,nan,1975-01-01,1894-01-01,nan,nan,nan,actor,nan,5121,Marquis de Carabas,nan,"'Naota's classmate, Eri Ninamori, is the perfect girl; she's emotionally calm, a rational thinker, and is very rich to boot. However, all is not well as she has problems of her own. Her father, the mayor of Mabase, is involved in both a sex scandal and a lawsuit with the Medical Mechanica Corporation. In addition, she has to convince Naota to take the title role he was chosen for in their class production of ''Puss in Boots''. She soon learns about Naota's ''secret'', his horns, which, this time, resemble cat ears. But, what levels will she stoop to get her way?",3.0,1.0,nan,nan,nan,2000-04-26,nan,2000-01-01,nan,nan,nan,0
4637,The Perils of Penrose,nan,14.0,2.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,5227,The Velvet Trap,nan,nan,16.0,3.0,nan,nan,nan,1962-01-21,nan,1962-01-01,nan,nan,nan,0
3426,Fortunata y Jacinta,nan,nan,nan,nan,nan,1980-01-01,1980-01-01,Drama,nan,600.0,2465,Thank you for Everything,nan,"The young actors now head to a resort city, Swakopmund, where golden desert and the Atlantic Ocean meet. Bo Gum tries driving but he can’t help but give up just in three minutes for a reason. In Swakopmund, they find a fancy restaurant that serves delicious but rather expensive dishes. After enjoying the luxury, they begin to worry about their budget. Will they be able to make it to their final destination without a problem?",3.0,4.0,nan,nan,nan,2016-03-04,nan,2016-01-01,nan,nan,nan,0
3017,nan,Robert Bice,nan,nan,1968-01-01,1914-01-01,nan,nan,nan,"actor,miscellaneous,writer",nan,5057,Animal Control Specialist,nan,nan,24.0,5.0,nan,nan,nan,2010-01-05,nan,2010-01-01,nan,nan,nan,0
4335,nan,Fred Schiller,nan,nan,2003-01-01,1904-01-01,nan,nan,nan,writer,nan,1594,nan,Dayday Films,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GB,0
2091,nan,Anthony DiMarco,nan,nan,2000-01-01,1917-01-01,nan,nan,nan,"editor,editorial_department,production_manager",nan,2141,Episode 23,nan,"With Gaeul’s effort, Yijung now finds out Eunjae’s declaration that he had missed three years ago. Gaeul brings Yijung to the rooftop, uncovers his eyes, and the message magically appears in front of him. Junpyo’s mother finds out about Junpyo and Jandi are secretly dating, and starts to attack the people around Jandi. Finding out who fall them into a difficult situation, Jandi makes up her mind.",23.0,1.0,nan,nan,nan,2009-03-24,nan,2009-01-01,nan,nan,nan,0
4195,nan,Josip Somodi,nan,nan,nan,nan,nan,nan,nan,"animation_department,actor,editor",nan,2554,nan,Josip ?omodi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
4734,Gekashitsu,nan,nan,nan,nan,nan,nan,1992-01-01,nan,nan,50.0,5242,Medical Waste Disposal Expert,nan,"Mike Rowe passes a surprisingly tranquil -- and highly entertaining -- day at Medical Waste Transport, Inc. in Sioux Falls, S.D.",7.0,8.0,nan,nan,nan,2012-01-24,nan,2012-01-01,nan,nan,nan,0
4571,nan,Michelle Ruff,nan,nan,nan,1967-01-01,nan,nan,nan,"actress,miscellaneous,sound_department",nan,3626,The Captain's Gun,nan,nan,24.0,1.0,nan,nan,nan,1958-05-11,nan,1958-01-01,nan,nan,nan,0
4672,nan,Jonathan Bourne,nan,nan,nan,1971-01-01,nan,nan,nan,"producer,writer,miscellaneous",nan,1575,The Girl Who Knew,nan,nan,18.0,2.0,nan,nan,nan,1955-01-02,nan,1955-01-01,nan,nan,nan,0
1516,The Sissy,nan,23.0,1.0,nan,nan,nan,1961-01-01,"Adventure,Drama,Family",nan,30.0,3562,nan,Gerald McRaney,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2353,nan,Keith Gordon,nan,nan,nan,1961-01-01,nan,nan,nan,"director,actor,producer",nan,4863,nan,Michel Legrand,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
845,Mid-Life Chrysalis,nan,8.0,1.0,nan,nan,nan,2004-01-01,"Action,Adventure,Animation",nan,22.0,2758,nan,Factum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HR,0
4568,nan,Chung Chow,nan,nan,nan,1932-01-01,nan,nan,nan,"actor,miscellaneous,production_manager",nan,6029,nan,Norman Kerry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1277,nan,Alex Graves,nan,nan,nan,nan,nan,nan,nan,"producer,director,writer",nan,4730,Una Nueva Soda,nan,nan,1.0,6.0,nan,nan,nan,1999-01-07,nan,1999-01-01,nan,nan,nan,0
4744,Wanted Dead or Alive: Part 1,nan,6.0,7.0,nan,nan,nan,1998-01-01,"Crime,Drama,Mystery",nan,60.0,5037,nan,Karel Kohout,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2593,nan,Hiroshi ?nogi,nan,nan,nan,nan,nan,nan,nan,"writer,miscellaneous",nan,725,nan,Elin Pelin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2769,This Subtle Danger,nan,15.0,8.0,nan,nan,nan,1961-01-01,Drama,nan,30.0,1187,C-H-- CHEATER!,nan,"Maya and Kenneth work together to hold JJ accountable for his academic future when he cheats on an exam at school. Meanwhile, Ray gets into a get-rich scheme.",19.0,1.0,nan,nan,nan,2017-04-05,nan,2017-01-01,nan,nan,nan,0
507,nan,Lamont Easter,nan,nan,nan,nan,nan,nan,nan,"actor,miscellaneous,visual_effects",nan,3324,nan,Thomas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1165,nan,G?tz Neumann,nan,nan,nan,nan,nan,nan,nan,"cinematographer,camera_department",nan,3023,nan,Nelson Algren,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1473,nan,Ralph W. Chambers,nan,nan,1968-01-01,1892-01-01,nan,nan,nan,actor,nan,5906,nan,Anthony Chinn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3338,Turbomodul,nan,nan,nan,nan,nan,nan,2014-01-01,Comedy,nan,21.0,5813,nan,NPO 3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NL,0
4440,nan,Tommy Cook,nan,nan,nan,1930-01-01,nan,nan,nan,"actor,writer,producer",nan,4805,nan,John Turturro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
362,nan,Ralph Clanton,nan,nan,2002-01-01,1914-01-01,nan,nan,nan,actor,nan,4498,Episode 4,nan,"'Sketches:It's a Miracle,Marriage Guidance,Flash Ash - Street,White Indian Wife - Dinner party,Smita Smitten - Toilet,Malkit - Late for work,Competitive Mothers - Wedding,White Indian Wife - Bus stop,Flash Ash - Car washer,Asian Babe,White Indian Wife - Park,Melodramatic Family - Car,Competitive Mothers - Baby,On The Waterfront,Smita Smitten - Chip shop(Art Malik),Overachieving Muffins,Competitive Mothers - Pimp,Untouchable (song),Competitive Mothers - Long jump.",4.0,1.0,nan,nan,nan,1998-02-02,nan,1998-01-01,nan,nan,nan,0
450,nan,Richard Ney,nan,nan,2004-01-01,1916-01-01,nan,nan,nan,"actor,soundtrack",nan,150,Motherhunt (2),nan,"'A widow finds a baby on her doorstep with a note saying ''A child should live in his father's house.''  Enter Wolfe, whose job is to find out if the dearly departed really sired the orphan.  Archie investigates and still finds time to romance the widow.  After a few dead ends, Wolfe and Archie redouble their efforts using the baby as mother-bait, but the scheme leads to another death.  With his usual impeccable timing, Inspector Cramer comes knocking, and Wolfe and Archie are forced into hiding at their client's house to buy time to solve the case.",7.0,2.0,nan,nan,nan,2002-05-19,nan,2002-01-01,nan,nan,nan,0
481,Running with the Bulls,nan,4.0,9.0,nan,nan,nan,2017-01-01,Comedy,nan,32.0,4159,nan,Han Soo-yeon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4575,nan,Alexander Grasshoff,nan,nan,2008-01-01,1928-01-01,nan,nan,nan,"director,producer,writer",nan,3776,Upstairs Inferno,nan,"On June 24, 1973, a gay bar in New Orleans called the Up Stairs Lounge was deliberately set on fire, resulting in the largest gay mass murder in U.S. history.",nan,nan,nan,nan,nan,2015-11-01,nan,2015-01-01,96, Documentary,nan,0
3855,nan,Franz K?chel,nan,nan,nan,nan,nan,nan,nan,actor,nan,283,nan,Franz K?chel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
1988,nan,J.D. Smith,nan,nan,nan,nan,nan,nan,nan,"miscellaneous,writer,producer",nan,3358,Episode 24,nan,"Jihu finds out Jandi’s whereabouts. He expects Junpyo to come with him, but Junpyo disappoints Jihoo again by refusing to go. Jandi arrives at the fishing village, but people expect her as the fianc? of the heir of Shinhwa Group. When it reveals as false, Jihu suddenly appears in front of her and settles the situation. Jihu declares his feeling for Jandi that he suppressed for long time and Junpyo looks at them from far back.. and suddenly!",24.0,1.0,nan,nan,nan,2009-03-30,nan,2009-01-01,nan,nan,nan,0
1251,nan,Eugene Lee,nan,nan,nan,nan,nan,nan,nan,"actor,miscellaneous,writer",nan,5359,Episode 8,nan,nan,8.0,1.0,nan,nan,nan,2014-07-03,nan,2014-01-01,nan,nan,nan,0
